年份,地区,地区·代码,灌溉面积电 kha,农用化肥施用量 万t,"农用柴油
使用量
(吨)","农药
使用量
(吨)","农用塑料
薄膜
使用量
(吨)",粮食作物面积 kha,农作物面积kha,粮食作物产量 吨,粮食单产 吨/公顷,粮食作物占比,人均粮食产量 kg/人,农业产值 亿元,农民人均年收入,碳排放总量 10*3t,碳排放强度
2001,舟山市,9.0,9.71,0.4256,623932.0,476.0,227.0,15.38,32.53,75462.0,4.90650195058518,0.472794343682754,76.9235474006116,7.46,4422.0,444.05027231,13.6504848542883
2000,舟山市,9.0,10.01,0.4373,634871.0,335.0,202.0,20.27,35.2,88435.0,4.36285150468673,0.575852272727273,89.8638349761203,7.09,4228.0,453.12885076,12.8729787147727
2023,衢州市,8.0,99.73,5.22,13319.0,1982.0,2096.0,90.15,174.68,566001.0,6.27843594009983,0.516086558277994,246.408794079234,79.43,33993.0,446.239990926,2.55461409964507
2022,衢州市,8.0,99.34,5.22,13862.0,2078.0,2052.0,89.92,172.62,555984.0,6.18309608540925,0.520912988066273,242.787772925764,76.36,31468.0,441.872744746,2.55980039825049
2021,衢州市,8.0,104.75,5.25,14678.7,2263.99,2059.92,89.5349363772007,171.62,553749.384898041,6.18472975247513,0.52170455877637,242.129158241382,73.27,29266.0,440.339628415,2.56578270839646
2020,衢州市,8.0,104.74,5.29,15791.0,2415.0,2145.0,89.26,173.28,550892.0,6.17176786914631,0.515120036934441,241.831431079895,74.46,26290.0,440.24810824,2.54067467820868
2019,衢州市,8.0,104.74,5.46,16481.0,2519.0,2280.0,87.93,186.88,540439.0,6.14624132832935,0.470515839041096,243.660504959423,72.44,24426.0,447.34318144,2.39374561986301
2018,衢州市,8.0,105.18,5.69,17020.0,3239.0,2435.0,87.95,182.51,572843.0,6.51328027288232,0.481891403210783,259.322317790856,70.06,22255.0,462.64188318,2.53488511960988
2017,衢州市,8.0,104.6,6.26,16581.0,3785.0,2537.0,90.11,184.24,560627.0,6.22158472977472,0.489090316977855,256.579862700229,71.21,20225.0,476.6820228,2.58728844333478
2016,衢州市,8.0,104.17,6.32,16172.0,4859.0,2467.0,106.46,211.04,710296.0,6.67195190681946,0.50445413191812,328.536540240518,74.7,18421.0,514.74118882,2.43906931775967
2015,衢州市,8.0,104.83,6.99,16286.0,5938.0,2542.0,108.41,209.57,703488.0,6.48914306798266,0.517297323090137,329.811533052039,71.08,16884.0,522.83661848,2.49480659674572
2014,衢州市,8.0,108.39,7.1496,16477.0,6206.0,2577.0,110.46,207.12,706750.0,6.39824370812964,0.533314020857474,332.744821092279,67.7,15354.0,517.91332954,2.50054716850135
2013,衢州市,8.0,95.53,7.516,15522.0,6539.0,2473.0,134.02,230.84,799195.0,5.96325175346963,0.580575290244325,376.268832391714,64.29,11924.0,577.43315918,2.5014432471842
2012,衢州市,8.0,95.53,7.5478,15082.0,6783.0,2361.0,134.0,230.22,796868.0,5.94677611940299,0.582051950308401,375.881132075472,61.3,10714.0,577.42034938,2.50812418286856
2011,衢州市,8.0,35.0,7.6157,14973.0,6918.0,2293.0,133.46,226.97,793552.0,5.94599130825716,0.588007225624532,374.493629070316,57.85,9635.0,573.3517113,2.52611231131868
2010,衢州市,8.0,34.42,7.4551,14432.0,6705.0,2109.0,132.03,223.62,761532.0,5.76787093842309,0.59042125033539,358.705605275553,51.57,8270.0,564.73644582,2.52542905741884
2009,衢州市,8.0,34.42,8.1614,14832.0,7380.0,2145.0,129.57,218.01,761040.0,5.87358184764992,0.594330535296546,356.860170683673,48.42,7336.0,570.09920432,2.61501400999954
2008,衢州市,8.0,34.62,8.7521,14467.0,7613.0,2153.0,122.53,204.82,729305.0,5.95205255855709,0.598232594473196,341.418941060812,44.93,6843.0,552.63353312,2.69814243296553
2007,衢州市,8.0,34.42,8.3859,14053.0,7661.0,2237.0,122.507,189.051,728733.0,5.94850090198927,0.648010325256148,340.640863833964,44.1264,6071.0,540.69784432,2.86006339199475
2006,衢州市,8.0,35.41,8.6898,14019.0,7701.0,2178.0,141.44,220.34,833308.0,5.89160067873303,0.641917037305982,388.68790521946,44.83,5359.0,610.83176996,2.77222369955523
2005,衢州市,8.0,35.13,8.7739,12511.0,7616.0,2119.0,140.27,216.85,814219.0,5.80465530762102,0.646852663131197,378.988549618321,40.08,4850.0,604.80812258,2.78906212856813
2004,衢州市,8.0,34.66,8.6918,12053.0,7436.0,2057.0,135.46,208.42,779100.0,5.75151336187804,0.649937625947606,317.210211310614,36.87,4414.0,587.30742206,2.81790337808272
2003,衢州市,8.0,34.31,8.0186,9790.0,7004.0,1881.0,121.23,200.87,655158.0,5.4042563721851,0.603524667695524,267.597108197525,32.36,3980.0,535.15674476,2.66419447782148
2002,衢州市,8.0,34.76,7.7611,9007.0,6623.0,1898.0,137.26,221.21,744790.0,5.4261256010491,0.620496360924009,305.054269916035,29.77,3595.0,581.81177656,2.63013325148049
2001,衢州市,8.0,35.03,6.7399,8187.0,6497.0,1673.0,149.59,233.36,803563.0,5.37176950330904,0.641026739801166,329.910498008786,31.31,3250.0,544.83340328,2.33473347308879
2000,衢州市,8.0,34.31,6.7332,8630.0,6375.0,1625.0,171.66,251.77,892406.0,5.19868344401724,0.681812765619415,367.850783182193,29.27,2615.0,509.38563926,2.02321817237955
2023,金华市,7.0,141.22,7.04,19137.0,3288.0,5750.0,86.49,183.87,484934.0,5.60682159787259,0.470386686245717,67.6998464330588,177.82,38136.0,487.68945824,2.65236013618317
2022,金华市,7.0,150.7,7.25,19998.0,3464.0,6126.0,85.64,180.65,480051.0,5.60545305931808,0.474065873235538,67.3566718114213,171.21,35630.0,488.65564826,2.70498559789648
2021,金华市,7.0,170.0,7.51,20005.2,3741.76,6139.24,81.0872752019207,175.97,458223.784119418,5.65099496780925,0.460801700300737,64.3572730504801,164.55,33709.0,499.412764206,2.8380562834915
2020,金华市,7.0,169.0,7.85,21652.0,4005.0,6557.0,78.15,177.15,451950.0,5.7831094049904,0.441151566469094,63.9974511469838,155.69,30365.0,512.42886523,2.89262695585662
2019,金华市,7.0,170.0,8.35,23161.0,4198.0,6798.0,77.51,202.66,435037.0,5.6126564314282,0.382463238922333,77.3536628733997,153.96,28511.0,523.40151621,2.58265822663575
2018,金华市,7.0,170.75,9.18,25103.0,4481.0,6592.0,77.71,201.7,454859.0,5.85328786513962,0.385275161130392,81.1668451106353,148.89,26218.0,530.17348503,2.6285249629648
2017,金华市,7.0,169.58,9.44,25838.0,4690.0,6496.0,81.86,200.7,464218.0,5.67087710725629,0.407872446437469,83.4324227174694,144.56,23922.0,540.30004392,2.69207794678625
2016,金华市,7.0,168.03,10.03,25681.0,5219.0,6940.0,99.36,223.56,604303.0,6.08195450885668,0.444444444444444,109.47518115942,147.6,21896.0,563.440159746,2.52030846191626
2015,金华市,7.0,167.28,10.91,28074.0,7299.0,7123.0,98.16,220.62,603290.0,6.14598614506928,0.444927930378026,110.614228089476,139.66,20297.0,585.522006114,2.65398425398423
2014,金华市,7.0,161.16,11.141,34568.0,7510.0,7342.0,99.61,226.32,607127.0,6.09504065856842,0.440129020855426,111.665808350193,134.01,18544.0,600.155309801,2.65179970749823
2013,金华市,7.0,160.02,12.4065,34830.0,8355.0,7454.0,153.42,272.13,882966.0,5.75522096206492,0.563774666519678,162.668754605748,126.02,14788.0,716.264246219,2.63206646168743
2012,金华市,7.0,160.02,11.9634,33191.0,8408.0,6333.0,154.84,274.82,897784.0,5.79814001549987,0.563423331635252,166.287090201889,121.13,13286.0,712.945661437,2.59422771791354
2011,金华市,7.0,95.52,11.5265,31966.0,8232.0,6089.0,154.93,274.17,890897.0,5.75031949912864,0.565087354561039,165.409766060156,113.25,11877.0,702.598856775,2.56263944550826
2010,金华市,7.0,93.88,11.1955,30035.0,9022.0,6295.0,158.1,273.66,894196.0,5.65588867805187,0.577724183293137,166.64107342527,99.45,10201.0,712.687374523,2.60428040094643
2009,金华市,7.0,93.88,11.0412,28698.0,8627.0,6295.0,159.38,272.83,901873.0,5.65863345463672,0.584173294725653,173.140778283323,81.9,9001.0,719.261284768,2.63629837176264
2008,金华市,7.0,90.44,10.7947,28282.0,8183.0,5173.0,154.42,261.16,876644.0,5.67701074990286,0.591285035993261,170.195697755688,74.64,8264.0,699.769153976,2.67946528555675
2007,金华市,7.0,99.51,10.2314,30419.0,7360.0,4074.0,144.026,249.513,809937.0,5.62354713732243,0.577228441003074,158.879712817294,69.2042,6971.0,687.60463534,2.75578681407382
2006,金华市,7.0,95.78,10.0304,32041.0,7430.0,3398.0,147.92,256.73,832041.0,5.6249391563007,0.576169516612784,165.702308167208,64.3,6137.0,694.421046699,2.7048691103455
2005,金华市,7.0,88.1,10.5686,31171.0,7230.0,3050.0,152.73,262.19,848676.0,5.55670791593007,0.582516495671078,171.560604835449,58.09,5516.0,718.523254852,2.74046780903925
2004,金华市,7.0,92.08,9.954,31147.0,7498.0,3163.0,149.44,257.67,853288.0,5.70990364025696,0.579966623976404,188.905911002878,55.84,5018.0,710.146099031,2.75602941371134
2003,金华市,7.0,85.09,9.4974,27008.0,6876.0,3037.0,134.04,254.23,730929.0,5.45306624888093,0.52723911418794,162.461158898446,50.78,4506.0,686.243722383,2.69930268805019
2002,金华市,7.0,91.06,9.678,23307.0,6782.0,3358.0,164.47,288.63,914507.0,5.56032711132729,0.569829886013235,203.590240210156,49.48,4157.0,735.237680931,2.54733631615217
2001,金华市,7.0,85.37,10.0814,24055.0,7229.0,3167.0,199.59,325.88,1095588.0,5.48919284533293,0.612464710936541,244.583649595928,54.71,3945.0,763.534460631,2.34299269863447
2000,金华市,7.0,84.08,9.7202,24370.0,7719.0,2567.0,258.87,379.93,1349098.0,5.21148839185692,0.681362356223515,302.203754312083,53.31,3464.0,912.68040608,2.40223305893191
2023,绍兴市,6.0,116.35,7.07,13417.0,4227.0,5980.0,120.36,217.08,753164.0,6.25759388501163,0.55444997236042,139.629959213941,247.73,48825.0,666.66122543,3.07103936534918
2022,绍兴市,6.0,115.47,7.19,13744.0,4320.0,6209.0,119.86,215.05,717113.0,5.98292174203237,0.557358753778191,133.964692695685,237.46,45709.0,663.20326331,3.08394914350151
2021,绍兴市,6.0,154.92,7.3,13783.36,4401.53,6216.12,123.086678596621,218.66,792912.842449491,6.44190623623878,0.562913558019853,148.569016760257,231.55,42636.0,673.697080835,3.08102570582182
2020,绍兴市,6.0,154.91,7.39,13605.0,4674.0,5147.0,121.94,217.69,789902.0,6.47779235689683,0.56015434792595,149.291627291627,213.94,38696.0,662.51479964,3.04338646534062
2019,绍兴市,6.0,154.91,7.51,13375.0,4824.0,5148.0,120.87,233.43,782799.0,6.47637130801688,0.517799768667266,154.795135455804,208.46,36120.0,655.97677048,2.81016480520927
2018,绍兴市,6.0,167.28,8.86,12921.0,5668.0,5134.0,119.71,229.39,775810.0,6.48074513407401,0.521862330528794,154.083416087388,200.67,33097.0,668.89267458,2.91596266001133
2017,绍兴市,6.0,167.09,10.56,13219.0,5771.0,5187.0,122.6,235.95,751198.0,6.12722675367047,0.519601610510701,149.939720558882,199.48,30331.0,693.702407297,2.94003986987497
2016,绍兴市,6.0,165.35,10.75,13271.0,5850.0,5175.0,146.21,275.44,954769.0,6.53012105875111,0.53082340981702,191.413191659984,207.69,27744.0,694.478994714,2.52134401217688
2015,绍兴市,6.0,155.96,10.9,14167.0,6052.0,5145.0,147.64,268.67,950204.0,6.43595231644541,0.549521718092828,191.264895330113,198.05,25648.0,718.999528992,2.67614370414263
2014,绍兴市,6.0,155.77,11.2811,15279.0,6277.0,4562.0,148.37,268.81,977611.0,6.58900721170048,0.551951192291953,197.25807102502,192.43,23539.0,719.638698472,2.67712770533834
2013,绍兴市,6.0,160.3,10.4836,15398.0,6044.0,4392.0,188.76,330.71,1206830.0,6.39346259800805,0.570771975446766,243.853303697717,183.23,19618.0,827.489261058,2.5021597806477
